,Open,High,Low,Close,Volume,Time,Date
3701386,3618.15,3618.15,3617.65,3617.73,0.40862416,05:30:00,2019-01-18
3701387,3616.98,3618.58,3616.25,3616.29,6.22610327,05:31:00,2019-01-18
3701388,3616.84,3616.84,3616.84,3616.84,0.28880209,05:32:00,2019-01-18
3701389,3617.63,3617.63,3617.63,3617.63,0.0786401,05:33:00,2019-01-18
3701390,3617.87,3617.9,3617.87,3617.9,0.14064549999999998,05:34:00,2019-01-18
3701391,3617.71,3617.71,3617.71,3617.71,0.11289079,05:35:00,2019-01-18
3701392,3615.93,3615.93,3615.85,3615.85,0.26416258,05:36:00,2019-01-18
3701393,3615.88,3615.88,3615.88,3615.88,0.00985902,05:37:00,2019-01-18
3701394,3615.93,3615.93,3615.93,3615.93,0.20452563,05:38:00,2019-01-18
3701395,3615.93,3616.55,3615.93,3616.02,5.83062948,05:39:00,2019-01-18
3701396,3617.01,3617.37,3617.01,3617.37,0.46461074,05:40:00,2019-01-18
3701397,3616.46,3616.46,3616.21,3616.46,2.36744393,05:41:00,2019-01-18
3701398,3616.68,3617.12,3616.68,3617.12,0.865842,05:42:00,2019-01-18
3701399,3616.69,3616.69,3616.26,3616.26,0.12998138,05:43:00,2019-01-18
3701400,3616.04,3616.04,3616.04,3616.04,0.11707200000000001,05:44:00,2019-01-18
3701401,3616.04,3616.29,3616.04,3616.29,0.1775172,05:45:00,2019-01-18
3701402,3616.1,3618.57,3616.1,3618.41,1.51966503,05:46:00,2019-01-18
3701403,3617.4,3617.88,3617.4,3617.42,0.70634855,05:47:00,2019-01-18
3701404,3616.04,3616.04,3615.16,3615.16,0.31178699,05:48:00,2019-01-18
3701405,3616.06,3617.29,3616.06,3616.12,1.32522927,05:49:00,2019-01-18
3701406,3616.57,3616.57,3616.57,3616.57,0.392253,05:50:00,2019-01-18
3701407,3615.13,3616.47,3615.13,3616.47,29.00490893,05:51:00,2019-01-18
3701408,3617.17,3617.17,3616.53,3616.53,0.81379509,05:52:00,2019-01-18
3701409,3616.24,3616.77,3616.24,3616.77,2.25052972,05:53:00,2019-01-18
3701410,3616.77,3616.8,3616.77,3616.8,0.40883448,05:54:00,2019-01-18
3701411,3617.37,3618.01,3617.37,3617.77,1.18285845,05:55:00,2019-01-18
3701412,3617.8,3618.01,3616.73,3616.73,0.92876954,05:56:00,2019-01-18
3701413,3617.89,3617.89,3617.6,3617.6,2.10249918,05:57:00,2019-01-18
3701414,3617.6,3618.53,3617.6,3617.97,1.32801408,05:58:00,2019-01-18
3701416,3617.64,3618.35,3617.55,3618.35,1.06631595,06:00:00,2019-01-18
3701417,3619.67,3619.69,3619.67,3619.69,0.5784735,06:01:00,2019-01-18
3701420,3618.87,3618.87,3618.13,3618.13,1.9761669999999998,06:04:00,2019-01-18
3701422,3618.13,3620.46,3617.88,3617.88,4.72448411,06:06:00,2019-01-18
3701423,3618.31,3618.31,3618.31,3618.31,0.01433578,06:07:00,2019-01-18
3701424,3618.31,3618.31,3618.31,3618.31,0.09188969999999999,06:08:00,2019-01-18
3701425,3618.31,3618.31,3617.47,3617.47,9.98168933,06:09:00,2019-01-18
