,Open,High,Low,Close,Volume,Time,Date
3755427,3761.52,3762.57,3761.01,3761.64,10.2055824,18:11:00,2019-02-24
3755428,3764.5,3765.52,3764.15,3765.15,1.04014744,18:12:00,2019-02-24
3755429,3760.39,3763.88,3759.7,3763.88,1.89347255,18:13:00,2019-02-24
3755430,3764.36,3764.36,3762.02,3762.02,1.5,18:14:00,2019-02-24
3755431,3762.44,3764.39,3759.49,3760.46,9.09255206,18:15:00,2019-02-24
3755432,3758.01,3761.21,3758.01,3761.21,3.56342476,18:16:00,2019-02-24
3755433,3760.43,3760.43,3758.87,3758.87,0.56420491,18:17:00,2019-02-24
3755434,3756.12,3756.12,3752.34,3752.72,1.83959756,18:18:00,2019-02-24
3755435,3759.23,3760.68,3756.04,3760.68,3.79982499,18:19:00,2019-02-24
3755436,3760.68,3764.64,3760.68,3763.98,0.7508088,18:20:00,2019-02-24
3755437,3762.51,3762.51,3761.51,3761.51,1.10480917,18:21:00,2019-02-24
3755438,3762.57,3762.57,3760.61,3761.93,5.2784443,18:22:00,2019-02-24
3755439,3760.61,3760.61,3757.1,3757.1,1.46122291,18:23:00,2019-02-24
3755440,3758.58,3758.58,3757.99,3757.99,2.952,18:24:00,2019-02-24
3755441,3758.78,3758.79,3758.76,3758.79,1.12776721,18:25:00,2019-02-24
3755442,3758.96,3759.87,3754.42,3757.7,21.82316574,18:26:00,2019-02-24
3755443,3758.51,3758.51,3756.71,3757.09,6.03023784,18:27:00,2019-02-24
3755444,3760.37,3760.75,3759.98,3760.75,4.80632074,18:28:00,2019-02-24
